"","X","SNo","Date","StartupName","IndustryVertical","SubVertical","CityLocation","InvestorsName","InvestmentType","AmountInUSD","Remarks","New_Date","dd","mm","yyyy","mmyyyy","New_Date","dd","mm","yyyy","mmyyyy"
"1",1,4777,"01/08/2017","TouchKin","Technology","Predictive Care Platform","Bangalore","Kae Capital","Private Equity",1300000,"","01/08/2017",1,8,2017,"08-2017","01/08/2017","01","08","2017","08-2017"
"2",4,4778,"02/08/2017","Zepo","Consumer Internet","DIY Ecommerce platform","Mumbai","Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal","Seed Funding",500000,"","02/08/2017",2,8,2017,"08-2017","02/08/2017","02","08","2017","08-2017"
"3",5,4779,"02/08/2017","Click2Clinic","Consumer Internet","healthcare service aggregator","Hyderabad","Narottam Thudi, Shireesh Palle","Seed Funding",850000,"","02/08/2017",2,8,2017,"08-2017","02/08/2017","02","08","2017","08-2017"
"4",6,4780,"01/07/2017","Billion Loans","Consumer Internet","Peer to Peer Lending platform","Bangalore","Reliance Corporate Advisory Services Ltd","Seed Funding",1000000,"","01/07/2017",1,7,2017,"07-2017","01/07/2017","01","07","2017","07-2017"
"5",7,4781,"03/07/2017","Ecolibriumenergy","Technology","Energy management solutions provider","Ahmedabad","Infuse Ventures, JLL","Private Equity",2600000,"","03/07/2017",3,7,2017,"07-2017","03/07/2017","03","07","2017","07-2017"
"6",8,4782,"04/07/2017","Droom","eCommerce","Online marketplace for automobiles","Gurgaon","Asset Management (Asia) Ltd, Digital Garage Inc","Private Equity",20000000,"","04/07/2017",4,7,2017,"07-2017","04/07/2017","04","07","2017","07-2017"
"7",9,4783,"05/07/2017","Jumbotail","eCommerce","online marketplace for food and grocery","Bangalore","Kalaari Capital, Nexus India Capital Advisors","Private Equity",8500000,"","05/07/2017",5,7,2017,"07-2017","05/07/2017","05","07","2017","07-2017"
"8",10,4784,"05/07/2017","Moglix","eCommerce","B2B marketplace for Industrial products","Noida","International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway","Private Equity",12000000,"","05/07/2017",5,7,2017,"07-2017","05/07/2017","05","07","2017","07-2017"
"9",11,4785,"05/07/2017","Timesaverz","Consumer Internet","Hyperlocal home services provider","Mumbai","BCCL","Private Equity",1000000,"","05/07/2017",5,7,2017,"07-2017","05/07/2017","05","07","2017","07-2017"
"10",14,4786,"07/07/2017","Clip App","Consumer Internet","Digital Media Video platform","Bangalore","India Quotient, Shunwei Capital","Seed Funding",1000000,"","07/07/2017",7,7,2017,"07-2017","07/07/2017","07","07","2017","07-2017"
"11",16,4787,"10/07/2017","Autorox.co","Technology","Workshop Management Software Platform","Hyderabad","Mitsui & Co.","Private Equity",3000000,"","10/07/2017",10,7,2017,"07-2017","10/07/2017","10","07","2017","07-2017"
"12",17,4788,"11/07/2017","Fabogo","Consumer Internet","Salon & Spa Aggregation & Discovery platform","Pune","Dunamis Ventures Pte Ltd","Private Equity",2250000,"","11/07/2017",11,7,2017,"07-2017","11/07/2017","11","07","2017","07-2017"
"13",18,4789,"11/07/2017","Flickstree","Consumer Internet","Video Content Discovery Platform","Mumbai","Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures","Seed Funding",464000,"","11/07/2017",11,7,2017,"07-2017","11/07/2017","11","07","2017","07-2017"
"14",20,4790,"12/07/2017","Innoviti","Technology","Digital payments solutions","Bangalore","SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures","Private Equity",18500000,"","12/07/2017",12,7,2017,"07-2017","12/07/2017","12","07","2017","07-2017"
"15",24,4791,"14/07/2017","QwikSpec","Technology","Construction site operations and analytics platform","Bangalore","Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen","Seed Funding",540000,"","14/07/2017",14,7,2017,"07-2017","14/07/2017","14","07","2017","07-2017"
"16",25,4792,"14/07/2017","Chumbak","eCommerce","Designer consumer products Marketplace","Bangalore","Blacksoil Capital Pvt. Ltd","Private Equity",1700000,"","14/07/2017",14,7,2017,"07-2017","14/07/2017","14","07","2017","07-2017"
"17",26,4793,"17/07/2017","Increff","Technology","Sales Solutions for Fashion Brands","Bangalore","Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das","Seed Funding",2000000,"","17/07/2017",17,7,2017,"07-2017","17/07/2017","17","07","2017","07-2017"
"18",27,4794,"17/07/2017","Vayana","Technology","Enterprise Banking Solutions","Pune","IDG Ventures India Advisors, Jungle Ventures","Private Equity",4000000,"","17/07/2017",17,7,2017,"07-2017","17/07/2017","17","07","2017","07-2017"
"19",32,4795,"19/07/2017","Rentomojo","Consumer Internet","Consumer Leasing Platform","Bangalore","ain Capital Ventures, Renaud Laplanche","Private Equity",10000000,"","19/07/2017",19,7,2017,"07-2017","19/07/2017","19","07","2017","07-2017"
"20",34,4796,"19/07/2017","Playablo","Technology","Gamified Learning App","Bangalore","ABI-Showatech (India) Ltd","Seed Funding",600000,"","19/07/2017",19,7,2017,"07-2017","19/07/2017","19","07","2017","07-2017"
"21",35,4797,"20/07/2017","Trupay","Technology","Online payments platform","Gurgaon","Kae Capital, M&S Partners,","Seed Funding",700000,"","20/07/2017",20,7,2017,"07-2017","20/07/2017","20","07","2017","07-2017"
"22",36,4798,"21/07/2017","Brick2Wall","eCommerce","Online Marketplace for Construction Material","Gurgaon","Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others","Seed Funding",200000,"","21/07/2017",21,7,2017,"07-2017","21/07/2017","21","07","2017","07-2017"
"23",40,4799,"25/07/2017","Noticeboard","Consumer Internet","Mobile-first Enterprise communication platform","Bangalore","Stellaris Venture Partners,","Private Equity",1200000,"","25/07/2017",25,7,2017,"07-2017","25/07/2017","25","07","2017","07-2017"
"24",41,4800,"25/07/2017","Byju’s","Consumer Internet","Mobile Learning App","Bangalore","Tencent Holdings","Private Equity",35000000,"","25/07/2017",25,7,2017,"07-2017","25/07/2017","25","07","2017","07-2017"
"25",43,4801,"26/07/2017","Fab Hotels","Consumer Internet","Budget hotels brand & Aggregator Platform","New Delhi","Goldman Sachs","Private Equity",25000000,"","26/07/2017",26,7,2017,"07-2017","26/07/2017","26","07","2017","07-2017"
"26",44,4802,"26/07/2017","ThinkerBell","Consumer Internet","Assisted Learning Startup","Bangalore","Indian Angel Network, Anand Mahindra","Seed Funding",200000,"","26/07/2017",26,7,2017,"07-2017","26/07/2017","26","07","2017","07-2017"
"27",45,4803,"27/07/2017","1mg","eCommerce","Online Pharmacy","Gurgaon","HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital","Private Equity",15000000,"","27/07/2017",27,7,2017,"07-2017","27/07/2017","27","07","2017","07-2017"
"28",47,4804,"28/07/2017","BigStylist","Consumer Internet","Beauty Services Marketplace","Mumbai","Info Edge (India) Ltd","Private Equity",1250000,"","28/07/2017",28,7,2017,"07-2017","28/07/2017","28","07","2017","07-2017"
"29",51,4805,"05/06/2017","Goomo","Consumer Internet","Online Travel & Holiday Booking platform","Mumbai","Emerging India","Private Equity",50000000,"","05/06/2017",5,6,2017,"06-2017","05/06/2017","05","06","2017","06-2017"
"30",53,4806,"06/06/2017","Spinny","eCommerce","Online Used Car marketplace","Gurgaon","Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon","Private Equity",1000000,"","06/06/2017",6,6,2017,"06-2017","06/06/2017","06","06","2017","06-2017"
"31",56,4807,"06/06/2017","BHIVE Workspace","Consumer Internet","co-working spaces","Bangalore","Blume Ventures","Private Equity",1200000,"","06/06/2017",6,6,2017,"06-2017","06/06/2017","06","06","2017","06-2017"
"32",57,4808,"06/06/2017","wayForward","Consumer Internet","Mobile app for Mental Health","New Delhi","Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan","Seed Funding",1000000,"","06/06/2017",6,6,2017,"06-2017","06/06/2017","06","06","2017","06-2017"
"33",60,4809,"07/06/2017","ZipLoan","Consumer Internet","Online lending platform","New Delhi","WaterBridge Ventures","Seed Funding",650000,"","07/06/2017",7,6,2017,"06-2017","07/06/2017","07","06","2017","06-2017"
"34",61,4810,"07/06/2017","GrowFitter","Consumer Internet","health and fitness discovery platform","Mumbai","SQue Capital","Seed Funding",600000,"","07/06/2017",7,6,2017,"06-2017","07/06/2017","07","06","2017","06-2017"
"35",62,4811,"08/06/2017","Stratfit","Consumer Internet","Health coaching programs","Hyderabad","Bodhtree Consulting Limited","Seed Funding",232000,"","08/06/2017",8,6,2017,"06-2017","08/06/2017","08","06","2017","06-2017"
"36",63,4812,"08/06/2017","Multiplier Solutions","Technology","CRM Software for Healthcare space","Hyderabad","Norwest Venture Partners","Private Equity",1500000,"","08/06/2017",8,6,2017,"06-2017","08/06/2017","08","06","2017","06-2017"
