"","StartupName","name","designation","otherInfo","education","skills","markets"
"1","castleglobal","kevinguo","CEO","Co-founder, CEO @Castle Global • Worked at @Mithril Capital • Studied CS at @Stanford University","Stanford University","Asia; New York City; Silicon Valley",""
"3","castleglobal","dmitriykarpman","CTO","Co-Founder and CTO @kiwi. PhD Candidate in CS @Stanford University. Worked @Google.","","",""
"4","fivetran","taylorbrown","Co-Founder","Founder @Fivetran • Worked at @North Social • Studied at @Amherst College • Interested in Data, Design, UX • Love problem solving.","Amherst College; Choate Rosemary Hall; California College of the Arts","",""
"5","fivetran","georgefraser","Founder","Founder @Fivetran • Studied at @Carnegie Mellon University","Carnegie Mellon University","",""
"6","fullcontact","travistodd","","Travis Todd is a co-founder at @FullContact. Operations guy that loves solving difficult problems. Strong engineering and business background.","University of Wyoming; University of Texas at Austin","Operations; Mechanical Engineering; MBA; Start-Ups; Technology; Product Development; Product Management; Contact Management; Consulting; Management Consulting; Business Consulting","Clean Technology; Consumer Internet; Enterprise Software; Mobile; Health Care"
"8","fullcontact","danlynn","CTO","Co-founder & CEO @AlwaysEncrypted. Founding CTO of @FullContact. Strong technical background. Solved integration problems for several Fortune 500 companies.","Metropolitan State College of Denver","Denver; Boulder",""
"9","plivo","michaelricordeau","","Co-Founder at @Plivo. 10 years in Telecom Product Development. Worked with carriers like France Telecom, Orange in Europe.","","Python; Freeswitch; Debian; VoIP Telecommunications; Web Development; Django; Telecommunications",""
"11","plivo","venky","","Co-Founder at @Plivo, Last 10 years in Telecom. Worked across Asia, Latin America and US","","Django; Web Development; Telecommunications; VoIP Telecommunications; Freeswitch",""
"12","ixigo-com","alokebajpai","CEO","Founder @ixigo.com, Angel in 20+ Indian Startups","Indian Institute of Technology - Kanpur; INSEAD","","Mobile; Lean Startups; Internet"
"14","ixigo-com","rajnishkumar","","Founded ixigo.com, helped bootstrap several startups","Indian Institute of Technology - Kanpur","Delhi; Gurgaon; India",""
"15","flipkart","sachinbansal","","Founder @Flipkart • Worked at @Amazon • Studied at @Indian Institute of Technology - Delhi","Indian Institute of Technology - Delhi","",""
"16","flipkart","binnybansal","","Founder @Flipkart • Worked at @Amazon, @Sarnoff • Studied at @Indian Institute of Technology - Delhi","Indian Institute of Technology - Delhi","",""
"18","zoom","gregmoran","","Dedicated cleantech entrepreneur","University of Pennsylvania; University of Southern California","","Financial Modeling; Contract Negotiations; Financial Analysis; Accounting; Creative Writing"
